time	V(vin)	V(vout)
5.022978115614268e-003	1.000000e+000	6.535815e-003
5.030790615614268e-003	1.000000e+000	6.984701e-003
5.038603115614268e-003	1.000000e+000	7.352548e-003
5.046415615614268e-003	1.000000e+000	7.637687e-003
5.054228115614268e-003	1.000000e+000	7.839318e-003
5.062040615614268e-003	1.000000e+000	7.957495e-003
5.069853115614268e-003	1.000000e+000	7.993107e-003
5.077665615614268e-003	1.000000e+000	7.947847e-003
5.085478115614268e-003	1.000000e+000	7.824177e-003
5.093290615614268e-003	1.000000e+000	7.625280e-003
5.101103115614268e-003	1.000000e+000	7.355013e-003
5.108915615614268e-003	1.000000e+000	7.017854e-003
5.116728115614268e-003	1.000000e+000	6.618836e-003
5.124540615614268e-003	1.000000e+000	6.163490e-003
5.132353115614268e-003	1.000000e+000	5.657769e-003
5.140165615614268e-003	1.000000e+000	5.107986e-003
5.147978115614268e-003	1.000000e+000	4.520736e-003
5.155790615614268e-003	1.000000e+000	3.902826e-003
5.163603115614268e-003	1.000000e+000	3.261202e-003
5.171415615614268e-003	1.000000e+000	2.602873e-003
5.179228115614268e-003	1.000000e+000	1.934843e-003
5.187040615614268e-003	1.000000e+000	1.264036e-003
5.194853115614268e-003	1.000000e+000	5.972368e-004
5.202665615614268e-003	1.000000e+000	-5.898249e-005
5.210478115614268e-003	1.000000e+000	-6.983170e-004
5.218290615614268e-003	1.000000e+000	-1.314787e-003
5.226103115614268e-003	1.000000e+000	-1.902792e-003
5.233915615614268e-003	1.000000e+000	-2.457153e-003
5.241728115614268e-003	1.000000e+000	-2.973157e-003
5.249540615614268e-003	1.000000e+000	-3.446592e-003
5.257353115614268e-003	1.000000e+000	-3.873779e-003
5.265165615614268e-003	1.000000e+000	-4.251588e-003
5.272978115614268e-003	1.000000e+000	-4.577465e-003
5.280790615614268e-003	1.000000e+000	-4.849438e-003
5.288603115614268e-003	1.000000e+000	-5.066122e-003
5.296415615614268e-003	1.000000e+000	-5.226723e-003
5.304228115614268e-003	1.000000e+000	-5.331025e-003
5.312040615614268e-003	1.000000e+000	-5.379381e-003
5.319853115614268e-003	1.000000e+000	-5.372697e-003
5.327665615614268e-003	1.000000e+000	-5.312405e-003
5.335478115614268e-003	1.000000e+000	-5.200440e-003
5.343290615614268e-003	1.000000e+000	-5.039205e-003
5.351103115614268e-003	1.000000e+000	-4.831537e-003
5.358915615614268e-003	1.000000e+000	-4.580666e-003
5.366728115614269e-003	1.000000e+000	-4.290176e-003
5.374540615614269e-003	1.000000e+000	-3.963956e-003
5.382353115614269e-003	1.000000e+000	-3.606160e-003
5.390165615614269e-003	1.000000e+000	-3.221150e-003
5.397978115614269e-003	1.000000e+000	-2.813457e-003
5.405790615614269e-003	1.000000e+000	-2.387723e-003
5.413603115614269e-003	1.000000e+000	-1.948657e-003
5.421415615614269e-003	1.000000e+000	-1.500983e-003
5.429228115614269e-003	1.000000e+000	-1.049395e-003
5.437040615614269e-003	1.000000e+000	-5.985101e-004
5.444853115614269e-003	1.000000e+000	-1.528232e-004
5.452665615614269e-003	1.000000e+000	2.833348e-004
5.460478115614269e-003	1.000000e+000	7.058353e-004
5.468290615614269e-003	1.000000e+000	1.110789e-003
5.476103115614269e-003	1.000000e+000	1.494579e-003
5.483915615614269e-003	1.000000e+000	1.853890e-003
5.491728115614269e-003	1.000000e+000	2.185734e-003
5.499540615614269e-003	1.000000e+000	2.487470e-003
5.507353115614269e-003	1.000000e+000	2.756828e-003
5.515165615614269e-003	1.000000e+000	2.991915e-003
5.522978115614269e-003	1.000000e+000	3.191230e-003
5.530790615614269e-003	1.000000e+000	3.353665e-003
5.538603115614269e-003	1.000000e+000	3.478510e-003
5.546415615614269e-003	1.000000e+000	3.565449e-003
5.554228115614269e-003	1.000000e+000	3.614553e-003
5.562040615614269e-003	1.000000e+000	3.626270e-003
5.569853115614269e-003	1.000000e+000	3.601411e-003
5.577665615614269e-003	1.000000e+000	3.541132e-003
5.585478115614269e-003	1.000000e+000	3.446915e-003
5.593290615614269e-003	1.000000e+000	3.320547e-003
5.601103115614269e-003	1.000000e+000	3.164090e-003
5.608915615614269e-003	1.000000e+000	2.979856e-003
5.616728115614269e-003	1.000000e+000	2.770379e-003
5.624540615614269e-003	1.000000e+000	2.538382e-003
5.632353115614269e-003	1.000000e+000	2.286746e-003
5.640165615614269e-003	1.000000e+000	2.018476e-003
5.647978115614269e-003	1.000000e+000	1.736670e-003
5.655790615614269e-003	1.000000e+000	1.444485e-003
5.663603115614269e-003	1.000000e+000	1.145101e-003
5.671415615614269e-003	1.000000e+000	8.416946e-004
5.679228115614269e-003	1.000000e+000	5.374012e-004
5.687040615614269e-003	1.000000e+000	2.352884e-004
5.694853115614269e-003	1.000000e+000	-6.167468e-005
5.702665615614269e-003	1.000000e+000	-3.506439e-004
5.710478115614269e-003	1.000000e+000	-6.289257e-004
5.718290615614269e-003	1.000000e+000	-8.940006e-004
5.726103115614269e-003	1.000000e+000	-1.143544e-003
5.733915615614269e-003	1.000000e+000	-1.375443e-003
5.741728115614269e-003	1.000000e+000	-1.587815e-003
5.749540615614269e-003	1.000000e+000	-1.779021e-003
5.757353115614269e-003	1.000000e+000	-1.947671e-003
5.765165615614269e-003	1.000000e+000	-2.092638e-003
5.772978115614269e-003	1.000000e+000	-2.213059e-003
5.780790615614269e-003	1.000000e+000	-2.308337e-003
5.788603115614269e-003	1.000000e+000	-2.378145e-003
5.796415615614269e-003	1.000000e+000	-2.422415e-003
5.804228115614269e-003	1.000000e+000	-2.441338e-003
5.812040615614269e-003	1.000000e+000	-2.435355e-003
5.819853115614269e-003	1.000000e+000	-2.405143e-003
5.827665615614269e-003	1.000000e+000	-2.351605e-003
5.835478115614269e-003	1.000000e+000	-2.275858e-003
5.843290615614269e-003	1.000000e+000	-2.179209e-003
5.851103115614269e-003	1.000000e+000	-2.063146e-003
5.866728115614269e-003	1.000000e+000	-1.779487e-003
5.882353115614269e-003	1.000000e+000	-1.439544e-003
5.897978115614269e-003	1.000000e+000	-1.059482e-003
5.913603115614269e-003	1.000000e+000	-6.562555e-004
5.929228115614269e-003	1.000000e+000	-2.469010e-004
5.944853115614269e-003	1.000000e+000	1.521385e-004
5.960478115614269e-003	1.000000e+000	5.256333e-004
5.968290615614269e-003	1.000000e+000	6.985089e-004
5.976103115614269e-003	1.000000e+000	8.601076e-004
5.983915615614269e-003	1.000000e+000	1.009092e-003
5.991728115614269e-003	1.000000e+000	1.144285e-003
5.999540615614269e-003	1.000000e+000	1.264675e-003
6.007353115614269e-003	1.000000e+000	1.369425e-003
6.015165615614269e-003	1.000000e+000	1.457875e-003
6.022978115614269e-003	1.000000e+000	1.529545e-003
6.030790615614269e-003	1.000000e+000	1.584133e-003
6.038603115614269e-003	1.000000e+000	1.621518e-003
6.046415615614269e-003	1.000000e+000	1.641752e-003
6.054228115614269e-003	1.000000e+000	1.645059e-003
6.062040615614269e-003	1.000000e+000	1.631825e-003
6.069853115614269e-003	1.000000e+000	1.602594e-003
6.077665615614269e-003	1.000000e+000	1.558056e-003
6.093290615614269e-003	1.000000e+000	1.426483e-003
6.108915615614269e-003	1.000000e+000	1.245130e-003
6.124540615614269e-003	1.000000e+000	1.023588e-003
6.140165615614269e-003	1.000000e+000	7.725639e-004
6.155790615614269e-003	1.000000e+000	5.034027e-004
6.171415615614269e-003	1.000000e+000	2.276074e-004
6.187040615614269e-003	1.000000e+000	-4.362120e-005
6.202665615614269e-003	1.000000e+000	-2.998113e-004
6.218290615614269e-003	1.000000e+000	-5.315978e-004
6.233915615614269e-003	1.000000e+000	-7.310371e-004
6.249540615614269e-003	1.000000e+000	-8.918503e-004
6.265165615614269e-003	1.000000e+000	-1.009590e-003
6.280790615614269e-003	1.000000e+000	-1.081725e-003
6.296415615614269e-003	1.000000e+000	-1.107647e-003
6.312040615614269e-003	1.000000e+000	-1.088600e-003
6.327665615614269e-003	1.000000e+000	-1.027539e-003
6.343290615614269e-003	1.000000e+000	-9.289322e-004
6.358915615614269e-003	1.000000e+000	-7.985093e-004
6.374540615614269e-003	1.000000e+000	-6.429731e-004
6.390165615614269e-003	1.000000e+000	-4.696883e-004
6.405790615614269e-003	1.000000e+000	-2.863584e-004
6.421415615614269e-003	1.000000e+000	-1.007052e-004
6.444853115614269e-003	1.000000e+000	1.660145e-004
6.460478115614269e-003	1.000000e+000	3.262539e-004
6.476103115614269e-003	1.000000e+000	4.657911e-004
6.491728115614270e-003	1.000000e+000	5.801385e-004
6.507353115614270e-003	1.000000e+000	6.660222e-004
6.522978115614270e-003	1.000000e+000	7.214510e-004
6.538603115614270e-003	1.000000e+000	7.457323e-004
6.554228115614270e-003	1.000000e+000	7.394359e-004
