t,Vin,Vout
-170.00E-06,-481.85156E-03,+3.82813E-03
-160.00E-06,-481.03125E-03,+2.18750E-03
-150.00E-06,-481.57813E-03,+2.73438E-03
-140.00E-06,-482.12500E-03,+3.28125E-03
-130.00E-06,-480.48438E-03,+1.09375E-03
-120.00E-06,-482.39844E-03,+3.82813E-03
-110.00E-06,-480.48438E-03,+1.64063E-03
-100.00E-06,-482.12500E-03,+2.18750E-03
-90.00E-06,-481.57813E-03,+3.00781E-03
-80.00E-06,-481.03125E-03,+1.09375E-03
-70.00E-06,-481.57813E-03,+3.82813E-03
-60.00E-06,-480.75781E-03,+1.64063E-03
-50.00E-06,-481.57813E-03,+2.46094E-03
-40.00E-06,-481.03125E-03,+3.55469E-03
-30.00E-06,-481.57813E-03,+1.36719E-03
-20.00E-06,-481.57813E-03,+4.10156E-03
-10.00E-06,-481.03125E-03,+1.91406E-03
+0.0E+00,+482.28906E-03,+35.54688E-03
+10.00E-06,+491.03906E-03,+101.71875E-03
+20.00E-06,+490.76563E-03,+159.96094E-03
+30.00E-06,+492.67969E-03,+218.47656E-03
+40.00E-06,+492.40625E-03,+267.69531E-03
+50.00E-06,+492.13281E-03,+307.89063E-03
+60.00E-06,+493.22656E-03,+343.98438E-03
+70.00E-06,+493.22656E-03,+368.04688E-03
+80.00E-06,+494.32031E-03,+383.08594E-03
+90.00E-06,+493.77344E-03,+394.57031E-03
+100.00E-06,+492.95313E-03,+399.49219E-03
+110.00E-06,+494.86719E-03,+396.48438E-03
+120.00E-06,+493.50000E-03,+389.64844E-03
+130.00E-06,+495.14063E-03,+379.53125E-03
+140.00E-06,+493.77344E-03,+359.29688E-03
+150.00E-06,+493.50000E-03,+335.50781E-03
+160.00E-06,+494.32031E-03,+307.34375E-03
+170.00E-06,+493.50000E-03,+267.42188E-03
+180.00E-06,+494.86719E-03,+228.59375E-03
+190.00E-06,+493.22656E-03,+185.93750E-03
+200.00E-06,+494.32031E-03,+138.35938E-03
+210.00E-06,+493.50000E-03,+95.42969E-03
+220.00E-06,+493.22656E-03,+46.21094E-03
+230.00E-06,+494.32031E-03,+3.55469E-03
+240.00E-06,+493.50000E-03,-42.10938E-03
+250.00E-06,+494.32031E-03,-82.03125E-03
+260.00E-06,+493.22656E-03,-121.13281E-03
+270.00E-06,+492.95313E-03,-156.40625E-03
+280.00E-06,+492.67969E-03,-186.75781E-03
+290.00E-06,+492.67969E-03,-213.28125E-03
+300.00E-06,+493.50000E-03,-234.88281E-03
+310.00E-06,+492.67969E-03,-251.28906E-03
+320.00E-06,+492.40625E-03,-263.86719E-03
+330.00E-06,+491.85938E-03,-269.06250E-03
+340.00E-06,+491.58594E-03,-272.07031E-03
+350.00E-06,+493.22656E-03,-265.78125E-03
+360.00E-06,+492.40625E-03,-260.31250E-03
+370.00E-06,+492.40625E-03,-245.00000E-03
+380.00E-06,+491.58594E-03,-230.78125E-03
+390.00E-06,+491.58594E-03,-208.35938E-03
+400.00E-06,+492.67969E-03,-187.30469E-03
+410.00E-06,+492.40625E-03,-159.96094E-03
+420.00E-06,+492.40625E-03,-133.43750E-03
+430.00E-06,+491.85938E-03,-103.35938E-03
+440.00E-06,+491.85938E-03,-73.00781E-03
+450.00E-06,+492.95313E-03,-43.20313E-03
+460.00E-06,+491.58594E-03,-11.75781E-03
+470.00E-06,+492.40625E-03,+15.85938E-03
+480.00E-06,+491.58594E-03,+46.21094E-03
+490.00E-06,+492.40625E-03,+71.09375E-03
+500.00E-06,+492.95313E-03,+95.70313E-03
+510.00E-06,+492.40625E-03,+118.39844E-03
+520.00E-06,+492.95313E-03,+135.07813E-03
+530.00E-06,+491.85938E-03,+152.85156E-03
+540.00E-06,+493.22656E-03,+165.15625E-03
+550.00E-06,+492.40625E-03,+172.53906E-03
+560.00E-06,+492.95313E-03,+181.28906E-03
+570.00E-06,+493.22656E-03,+181.83594E-03
+580.00E-06,+491.31250E-03,+181.56250E-03
+590.00E-06,+492.67969E-03,+179.64844E-03
+600.00E-06,+492.13281E-03,+169.25781E-03
+610.00E-06,+492.95313E-03,+162.69531E-03
+620.00E-06,+492.13281E-03,+149.02344E-03
+630.00E-06,+491.31250E-03,+133.16406E-03
+640.00E-06,+492.13281E-03,+120.03906E-03
+650.00E-06,+491.58594E-03,+98.71094E-03
+660.00E-06,+492.13281E-03,+83.12500E-03
+670.00E-06,+492.13281E-03,+61.52344E-03
+680.00E-06,+490.76563E-03,+41.28906E-03
+690.00E-06,+492.67969E-03,+22.96875E-03
+700.00E-06,+490.76563E-03,-0.0E+00
