Freq.	V(n005)/(-I(R1)-I(R2))
2.65478891545946e+001	(6.25587822471907e+001dB,-6.07082571096756e+001°)
2.66090883595617e+001	(6.25375738132513e+001dB,-6.07619930627836e+001°)
2.66704286432663e+001	(6.25163166276449e+001dB,-6.08155055722231e+001°)
2.67319103309287e+001	(6.24950106751165e+001dB,-6.08687929967108e+001°)
2.67935337485185e+001	(6.24736559410927e+001dB,-6.09218536874636e+001°)
2.68552992227571e+001	(6.24522524116966e+001dB,-6.09746859881718e+001°)
2.69172070811188e+001	(6.24308000737538e+001dB,-6.10272882349678e+001°)
2.69792576518329e+001	(6.24092989147983e+001dB,-6.10796587563590e+001°)
2.70414512638854e+001	(6.23877489230831e+001dB,-6.11317958732114e+001°)
2.71037882470205e+001	(6.23661500875938e+001dB,-6.11836978987027e+001°)
2.71662689317429e+001	(6.23445023980491e+001dB,-6.12353631382794e+001°)
2.72288936493188e+001	(6.23228058449132e+001dB,-6.12867898896021e+001°)
2.72916627317783e+001	(6.23010604194101e+001dB,-6.13379764425480e+001°)
2.73545765119168e+001	(6.22792661135239e+001dB,-6.13889210791086e+001°)
2.74176353232969e+001	(6.22574229200148e+001dB,-6.14396220734096e+001°)
2.74808395002501e+001	(6.22355308324261e+001dB,-6.14900776916243e+001°)
2.75441893778787e+001	(6.22135898450956e+001dB,-6.15402861919545e+001°)
2.76076852920575e+001	(6.21915999531626e+001dB,-6.15902458245789e+001°)
2.76713275794354e+001	(6.21695611525825e+001dB,-6.16399548316357e+001°)
2.77351165774376e+001	(6.21474734401271e+001dB,-6.16894114471250e+001°)
2.77990526242669e+001	(6.21253368134083e+001dB,-6.17386138969375e+001°)
2.78631360589058e+001	(6.21031512708798e+001dB,-6.17875603987643e+001°)
2.79273672211185e+001	(6.20809168118476e+001dB,-6.18362491620640e+001°)
2.79917464514521e+001	(6.20586334364868e+001dB,-6.18846783880509e+001°)
2.80562740912389e+001	(6.20363011458424e+001dB,-6.19328462695928e+001°)
2.81209504825981e+001	(6.20139199418522e+001dB,-6.19807509912342e+001°)
2.81857759684373e+001	(6.19914898273466e+001dB,-6.20283907291067e+001°)
2.82507508924549e+001	(6.19690108060686e+001dB,-6.20757636509100e+001°)
2.83158755991414e+001	(6.19464828826823e+001dB,-6.21228679158767e+001°)
2.83811504337816e+001	(6.19239060627798e+001dB,-6.21697016746935e+001°)
2.84465757424562e+001	(6.19012803529003e+001dB,-6.22162630694995e+001°)
2.85121518720435e+001	(6.18786057605351e+001dB,-6.22625502338136e+001°)
2.85778791702218e+001	(6.18558822941488e+001dB,-6.23085612925234e+001°)
