Freq.	V(n013)
1.07398941234124e+000	(-1.04555175333553e+002dB,-1.76403080164290e+002°)
1.07646521362983e+000	(-1.04555096431956e+002dB,-1.76394810252384e+002°)
1.07894672222983e+000	(-1.04555017172443e+002dB,-1.76386521425289e+002°)
1.08143395129794e+000	(-1.04554937541228e+002dB,-1.76378213645493e+002°)
1.08392691402120e+000	(-1.04554857551016e+002dB,-1.76369886864353e+002°)
1.08642562361706e+000	(-1.04554777189624e+002dB,-1.76361541043514e+002°)
1.08893009333343e+000	(-1.04554696459652e+002dB,-1.76353176138355e+002°)
1.09144033644876e+000	(-1.04554615357129e+002dB,-1.76344792106908e+002°)
1.09395636627209e+000	(-1.04554533882124e+002dB,-1.76336388905417e+002°)
1.09647819614318e+000	(-1.04554452034067e+002dB,-1.76327966490293e+002°)
1.09900583943252e+000	(-1.04554369808464e+002dB,-1.76319524819511e+002°)
1.10153930954141e+000	(-1.04554287205305e+002dB,-1.76311063849057e+002°)
1.10407861990207e+000	(-1.04554204222565e+002dB,-1.76302583535671e+002°)
1.10662378397766e+000	(-1.04554120856412e+002dB,-1.76294083836772e+002°)
1.10917481526240e+000	(-1.04554037109590e+002dB,-1.76285564706877e+002°)
1.11173172728159e+000	(-1.04553952975240e+002dB,-1.76277026104506e+002°)
1.11429453359173e+000	(-1.04553868460204e+002dB,-1.76268467982214e+002°)
1.11686324778056e+000	(-1.04553783549446e+002dB,-1.76259890301855e+002°)
1.11943788346715e+000	(-1.04553698255655e+002dB,-1.76251293013259e+002°)
1.12201845430196e+000	(-1.04553612564004e+002dB,-1.76242676078021e+002°)
1.12460497396692e+000	(-1.04553526479602e+002dB,-1.76234039449033e+002°)
1.12719745617551e+000	(-1.04553440001286e+002dB,-1.76225383081794e+002°)
1.12979591467280e+000	(-1.04553353123521e+002dB,-1.76216706933609e+002°)
1.13240036323556e+000	(-1.04553265847945e+002dB,-1.76208010958564e+002°)
1.13501081567231e+000	(-1.04553178169864e+002dB,-1.76199295113409e+002°)
1.13762728582343e+000	(-1.04553090089910e+002dB,-1.76190559352466e+002°)
1.14024978756117e+000	(-1.04553001607360e+002dB,-1.76181803630550e+002°)
1.14287833478977e+000	(-1.04552912716342e+002dB,-1.76173027904640e+002°)
1.14551294144553e+000	(-1.04552823415234e+002dB,-1.76164232129757e+002°)
1.14815362149688e+000	(-1.04552733703924e+002dB,-1.76155416260149e+002°)
1.15080038894443e+000	(-1.04552643583138e+002dB,-1.76146580249590e+002°)
1.15345325782109e+000	(-1.04552553043581e+002dB,-1.76137724056204e+002°)
1.15611224219210e+000	(-1.04552462092694e+002dB,-1.76128847630577e+002°)
1.15877735615512e+000	(-1.04552370723268e+002dB,-1.76119950929711e+002°)
1.16144861384034e+000	(-1.04552278932886e+002dB,-1.76111033908382e+002°)
1.16412602941049e+000	(-1.04552186720304e+002dB,-1.76102096520739e+002°)
1.16680961706096e+000	(-1.04552094086758e+002dB,-1.76093138719713e+002°)
1.16949939101987e+000	(-1.04552001023410e+002dB,-1.76084160462671e+002°)
1.17219536554813e+000	(-1.04551907534946e+002dB,-1.76075161700785e+002°)
1.17489755493953e+000	(-1.04551813616654e+002dB,-1.76066142389363e+002°)
1.17760597352080e+000	(-1.04551719266474e+002dB,-1.76057102482420e+002°)
1.18032063565173e+000	(-1.04551624486119e+002dB,-1.76048041932149e+002°)
1.18304155572516e+000	(-1.04551529264904e+002dB,-1.76038960696289e+002°)
1.18576874816716e+000	(-1.04551433611197e+002dB,-1.76029858723792e+002°)
1.18850222743702e+000	(-1.04551337515673e+002dB,-1.76020735971584e+002°)
1.19124200802737e+000	(-1.04551240979397e+002dB,-1.76011592391742e+002°)
1.19398810446427e+000	(-1.04551143999412e+002dB,-1.76002427938080e+002°)
1.19674053130724e+000	(-1.04551046573909e+002dB,-1.75993242563786e+002°)
