Freq.	V(vo3)
2.04173794466952e+001	(-1.14330639895283e+000dB,1.59592666676236e+002°)
2.08929613085403e+001	(-1.19150618214176e+000dB,1.59224823628556e+002°)
2.13796208950222e+001	(-1.24150713855701e+000dB,1.58854908119552e+002°)
2.18776162394954e+001	(-1.29335813281338e+000dB,1.58483219019860e+002°)
2.23872113856833e+001	(-1.34710791727244e+000dB,1.58110076533197e+002°)
2.29086765276776e+001	(-1.40280500080190e+000dB,1.57735822934862e+002°)
2.34422881531991e+001	(-1.46049750806993e+000dB,1.57360823303158e+002°)
2.39883291901948e+001	(-1.52023302907426e+000dB,1.56985466241530e+002°)
2.45470891568502e+001	(-1.58205845859358e+000dB,1.56610164589242e+002°)
2.51188643150957e+001	(-1.64601982522998e+000dB,1.56235356118392e+002°)
2.57039578276885e+001	(-1.71216210968510e+000dB,1.55861504215057e+002°)
2.63026799189537e+001	(-1.78052905187778e+000dB,1.55489098542374e+002°)
2.69153480392690e+001	(-1.85116294646756e+000dB,1.55118655683291e+002°)
2.75422870333815e+001	(-1.92410442629230e+000dB,1.54750719760717e+002°)
2.81838293126444e+001	(-1.99939223316248e+000dB,1.54385863032638e+002°)
2.88403150312659e+001	(-2.07706297537364e+000dB,1.54024686459646e+002°)
2.95120922666637e+001	(-2.15715087120641e+000dB,1.53667820242075e+002°)
3.01995172040200e+001	(-2.23968747757499e+000dB,1.53315924323565e+002°)
3.09029543251358e+001	(-2.32470140286409e+000dB,1.52969688857440e+002°)
3.16227766016837e+001	(-2.41221800285848e+000dB,1.52629834631605e+002°)
3.23593656929627e+001	(-2.50225905852134e+000dB,1.52297113446870e+002°)
3.31131121482590e+001	(-2.59484243421805e+000dB,1.51972308442526e+002°)
3.38844156139201e+001	(-2.68998171481449e+000dB,1.51656234361657e+002°)
3.46736850452530e+001	(-2.78768581990592e+000dB,1.51349737747047e+002°)
3.54813389233574e+001	(-2.88795859326111e+000dB,1.51053697056477e+002°)
3.63078054770100e+001	(-2.99079836540100e+000dB,1.50769022683802e+002°)
3.71535229097171e+001	(-3.09619748708213e+000dB,1.50496656869275e+002°)
3.80189396320559e+001	(-3.20414183133253e+000dB,1.50237573479153e+002°)
3.89045144994279e+001	(-3.31461026160551e+000dB,1.49992777630607e+002°)
3.98107170553495e+001	(-3.42757406359106e+000dB,1.49763305133344e+002°)
4.07380277804111e+001	(-3.54299633827509e+000dB,1.49550221714009e+002°)
4.16869383470333e+001	(-3.66083135398910e+000dB,1.49354621983473e+002°)
4.26579518801591e+001	(-3.78102385547165e+000dB,1.49177628100384e+002°)
4.36515832240164e+001	(-3.90350832840655e+000dB,1.49020388076931e+002°)
4.46683592150961e+001	(-4.02820821854314e+000dB,1.48884073664712e+002°)
4.57088189614873e+001	(-4.15503510538979e+000dB,1.48769877749916e+002°)
4.67735141287196e+001	(-4.28388783164769e+000dB,1.48679011177965e+002°)
4.78630092322636e+001	(-4.41465159107253e+000dB,1.48612698918430e+002°)
4.89778819368444e+001	(-4.54719697937256e+000dB,1.48572175471818e+002°)
5.01187233627270e+001	(-4.68137901513037e+000dB,1.48558679411132e+002°)
5.12861383991362e+001	(-4.81703614062921e+000dB,1.48573446943437e+002°)
5.24807460249770e+001	(-4.95398921592231e+000dB,1.48617704370814e+002°)
5.37031796370250e+001	(-5.09204052354570e+000dB,1.48692659326895e+002°)
5.49540873857622e+001	(-5.23097280595896e+000dB,1.48799490665731e+002°)
5.62341325190346e+001	(-5.37054836309682e+000dB,1.48939336885402e+002°)
5.75439937337154e+001	(-5.51050824327200e+000dB,1.49113282980954e+002°)
5.88843655355586e+001	(-5.65057156698164e+000dB,1.49322345641678e+002°)
6.02559586074355e+001	(-5.79043502975320e+000dB,1.49567456738159e+002°)
6.16595001861479e+001	(-5.92977263675198e+000dB,1.49849445086724e+002°)
6.30957344480190e+001	(-6.06823572808567e+000dB,1.50169016534600e+002°)
6.45654229034652e+001	(-6.20545335909183e+000dB,1.50526732479484e+002°)
6.60693448007593e+001	(-6.34103310376154e+000dB,1.50922987023142e+002°)
6.76082975391978e+001	(-6.47456235111269e+000dB,1.51357983059810e+002°)
