f,mag,phase
1.08642562361706e+001,-5.21121975440850e+001,8.99185959025685e+001
1.08893009333343e+001,-5.20921965530292e+001,8.99184592084452e+001
1.09144033644875e+001,-5.20721955573920e+001,8.99183220819266e+001
1.09395636627209e+001,-5.20521945571522e+001,8.99181845222840e+001
1.09647819614318e+001,-5.20321935522886e+001,8.99180465287901e+001
1.09900583943252e+001,-5.20121925427798e+001,8.99179081007075e+001
1.10153930954141e+001,-5.19921915286046e+001,8.99177692373065e+001
1.10407861990207e+001,-5.19721905097413e+001,8.99176299378452e+001
1.10662378397766e+001,-5.19521894861684e+001,8.99174902015909e+001
1.10917481526240e+001,-5.19321884578641e+001,8.99173500277992e+001
1.11173172728159e+001,-5.19121874248067e+001,8.99172094157255e+001
1.11429453359173e+001,-5.18921863869741e+001,8.99170683646263e+001
1.11686324778056e+001,-5.18721853443445e+001,8.99169268737497e+001
1.11943788346715e+001,-5.18521842968958e+001,8.99167849423463e+001
1.12201845430196e+001,-5.18321832446055e+001,8.99166425696659e+001
1.12460497396692e+001,-5.18121821874516e+001,8.99164997549490e+001
1.12719745617551e+001,-5.17921811254115e+001,8.99163564974386e+001
1.12979591467279e+001,-5.17721800584628e+001,8.99162127963765e+001
1.13240036323555e+001,-5.17521789865827e+001,8.99160686509987e+001
1.13501081567231e+001,-5.17321779097486e+001,8.99159240605437e+001
1.13762728582343e+001,-5.17121768279376e+001,8.99157790242380e+001
1.14024978756117e+001,-5.16921757411268e+001,8.99156335413165e+001
1.14287833478977e+001,-5.16721746492931e+001,8.99154876110056e+001
1.14551294144553e+001,-5.16521735524133e+001,8.99153412325336e+001
1.14815362149688e+001,-5.16321724504643e+001,8.99151944051218e+001
1.15080038894443e+001,-5.16121713434226e+001,8.99150471279893e+001
1.15345325782109e+001,-5.15921702312648e+001,8.99148994003579e+001
1.15611224219210e+001,-5.15721691139672e+001,8.99147512214424e+001
1.15877735615512e+001,-5.15521679915063e+001,8.99146025904577e+001
1.16144861384034e+001,-5.15321668638580e+001,8.99144535066133e+001
1.16412602941049e+001,-5.15121657309986e+001,8.99143039691170e+001
1.16680961706096e+001,-5.14921645929041e+001,8.99141539771796e+001
1.16949939101987e+001,-5.14721634495502e+001,8.99140035300014e+001
1.17219536554813e+001,-5.14521623009127e+001,8.99138526267878e+001
1.17489755493953e+001,-5.14321611469673e+001,8.99137012667329e+001
1.17760597352080e+001,-5.14121599876895e+001,8.99135494490384e+001
1.18032063565173e+001,-5.13921588230547e+001,8.99133971728951e+001
1.18304155572516e+001,-5.13721576530383e+001,8.99132444374994e+001
1.18576874816716e+001,-5.13521564776153e+001,8.99130912420348e+001
1.18850222743701e+001,-5.13321552967608e+001,8.99129375856947e+001
1.19124200802737e+001,-5.13121541104499e+001,8.99127834676610e+001
1.19398810446427e+001,-5.12921529186573e+001,8.99126288871147e+001
1.19674053130724e+001,-5.12721517213578e+001,8.99124738432360e+001
1.19949930314937e+001,-5.12521505185260e+001,8.99123183352028e+001
1.20226443461741e+001,-5.12321493101364e+001,8.99121623621903e+001
1.20503594037179e+001,-5.12121480961633e+001,8.99120059233702e+001
1.20781383510678e+001,-5.11921468765810e+001,8.99118490179144e+001
1.21059813355048e+001,-5.11721456513636e+001,8.99116916449860e+001
1.21338885046497e+001,-5.11521444204852e+001,8.99115338037546e+001
1.21618600064636e+001,-5.11321431839196e+001,8.99113754933780e+001
1.21898959892486e+001,-5.11121419416406e+001,8.99112167130199e+001
1.22179966016487e+001,-5.10921406936219e+001,8.99110574618360e+001
1.22461619926504e+001,-5.10721394398370e+001,8.99108977389818e+001
1.22743923115840e+001,-5.10521381802592e+001,8.99107375436121e+001
1.23026877081238e+001,-5.10321369148620e+001,8.99105768748708e+001
1.23310483322890e+001,-5.10121356436183e+001,8.99104157319119e+001
1.23594743344450e+001,-5.09921343665014e+001,8.99102541138754e+001
1.23879658653036e+001,-5.09721330834841e+001,8.99100920199040e+001
1.24165230759240e+001,-5.09521317945391e+001,8.99099294491419e+001
1.24451461177138e+001,-5.09321304996392e+001,8.99097664007231e+001
1.24738351424294e+001,-5.09121291987569e+001,8.99096028737793e+001
1.25025903021771e+001,-5.08921278918645e+001,8.99094388674502e+001
1.25314117494141e+001,-5.08721265789345e+001,8.99092743808598e+001
1.25602996369487e+001,-5.08521252599388e+001,8.99091094131382e+001
1.25892541179416e+001,-5.08321239348496e+001,8.99089439634074e+001
1.26182753459066e+001,-5.08121226036388e+001,8.99087780307912e+001
1.26473634747114e+001,-5.07921212662781e+001,8.99086116144082e+001
1.26765186585784e+001,-5.07721199227391e+001,8.99084447133747e+001
1.27057410520853e+001,-5.07521185729933e+001,8.99082773268077e+001
1.27350308101665e+001,-5.07321172170122e+001,8.99081094538156e+001
1.27643880881134e+001,-5.07121158547669e+001,8.99079410935093e+001
1.27938130415752e+001,-5.06921144862286e+001,8.99077722449962e+001
1.28233058265601e+001,-5.06721131113683e+001,8.99076029073786e+001
1.28528665994361e+001,-5.06521117301567e+001,8.99074330797573e+001
1.28824955169313e+001,-5.06321103425646e+001,8.99072627612334e+001
1.29121927361353e+001,-5.06121089485626e+001,8.99070919508994e+001
1.29419584144998e+001,-5.05921075481211e+001,8.99069206478552e+001
1.29717927098395e+001,-5.05721061412103e+001,8.99067488511837e+001
1.30016957803328e+001,-5.05521047278005e+001,8.99065765599796e+001
1.30316677845229e+001,-5.05321033078617e+001,8.99064037733253e+001
1.30617088813183e+001,-5.05121018813637e+001,8.99062304903042e+001
1.30918192299940e+001,-5.04921004482763e+001,8.99060567099974e+001
1.31219989901920e+001,-5.04720990085691e+001,8.99058824314821e+001
1.31522483219223e+001,-5.04520975622116e+001,8.99057076538331e+001
1.31825673855640e+001,-5.04320961091730e+001,8.99055323761236e+001
1.32129563418657e+001,-5.04120946494227e+001,8.99053565974237e+001
1.32434153519466e+001,-5.03920931829295e+001,8.99051803167994e+001
1.32739445772973e+001,-5.03720917096625e+001,8.99050035333167e+001
1.33045441797808e+001,-5.03520902295903e+001,8.99048262460342e+001
1.33352143216332e+001,-5.03320887426816e+001,8.99046484540144e+001
