Freq.	V(n003)-V(n002)
4.57088189614873e+002	(-6.02077351651793e+000dB,-3.29040182488269e+000°)
4.67735141287196e+002	(-6.02077351112281e+000dB,-3.36701460757716e+000°)
4.78630092322636e+002	(-6.02077350547379e+000dB,-3.44540974956907e+000°)
4.89778819368444e+002	(-6.02077349955891e+000dB,-3.52562861145859e+000°)
5.01187233627270e+002	(-6.02077349336571e+000dB,-3.60771350612775e+000°)
5.12861383991362e+002	(-6.02077348688110e+000dB,-3.69170772012811e+000°)
5.24807460249770e+002	(-6.02077348009138e+000dB,-3.77765553551014e+000°)
5.37031796370250e+002	(-6.02077347298224e+000dB,-3.86560225210052e+000°)
5.49540873857622e+002	(-6.02077346553868e+000dB,-3.95559421023362e+000°)
5.62341325190346e+002	(-6.02077345774497e+000dB,-4.04767881394297e+000°)
5.75439937337154e+002	(-6.02077344958470e+000dB,-4.14190455461870e+000°)
5.88843655355586e+002	(-6.02077344104066e+000dB,-4.23832103513641e+000°)
6.02559586074355e+002	(-6.02077343209484e+000dB,-4.33697899446290e+000°)
6.16595001861479e+002	(-6.02077342272839e+000dB,-4.43793033274379e+000°)
6.30957344480190e+002	(-6.02077341292158e+000dB,-4.54122813687782e+000°)
6.45654229034652e+002	(-6.02077340265375e+000dB,-4.64692670658224e+000°)
6.60693448007592e+002	(-6.02077339190330e+000dB,-4.75508158095345e+000°)
6.76082975391978e+002	(-6.02077338064761e+000dB,-4.86574956552631e+000°)
6.91830970918933e+002	(-6.02077336886299e+000dB,-4.97898875983550e+000°)
7.07945784384134e+002	(-6.02077335652466e+000dB,-5.09485858548142e+000°)
7.24435960074986e+002	(-6.02077334360670e+000dB,-5.21341981470279e+000°)
7.41310241300914e+002	(-6.02077333008197e+000dB,-5.33473459945738e+000°)
7.58577575029180e+002	(-6.02077331592206e+000dB,-5.45886650101154e+000°)
7.76247116628688e+002	(-6.02077330109725e+000dB,-5.58588052003876e+000°)
7.94328234724277e+002	(-6.02077328557645e+000dB,-5.71584312722612e+000°)
